path,last_commit,last_commit_date_utc,last_subject,owner_scope,change_tag
"server/apache/aiir-runtime.conf","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/container/Dockerfile","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/env/ai-gateway.env","063dc8d","2026-03-02T19:37:17Z","runtime: add gateway v1 endpoints for multi-project DB orchestration","ai","runtime"
"server/env/ai-runtime.env","11cefe0","2026-03-02T17:34:08Z","runtime: add openapi endpoint and structured request logging","ai","runtime"
"server/nginx/aiir-runtime.conf","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/scripts/backup-state.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/scripts/build-native-runtime.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/scripts/check-runtime.sh","11cefe0","2026-03-02T17:34:08Z","runtime: add openapi endpoint and structured request logging","ai","ops"
"server/scripts/lockdown-perms.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/scripts/provision-project-domain.sh","01f0f71","2026-03-02T19:51:31Z","ops: add project+domain provisioning helper with AI-managed security defaults","ai","ops"
"server/scripts/restore-state.sh","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","ops"
"server/scripts/smoke-capability.sh","11cefe0","2026-03-02T17:34:08Z","runtime: add openapi endpoint and structured request logging","ai","ops"
"server/scripts/smoke-gateway.sh","063dc8d","2026-03-02T19:37:17Z","runtime: add gateway v1 endpoints for multi-project DB orchestration","ai","ops"
"server/scripts/smoke-runtime.sh","11cefe0","2026-03-02T17:34:08Z","runtime: add openapi endpoint and structured request logging","ai","ops"
"server/scripts/start-runtime.sh","063dc8d","2026-03-02T19:37:17Z","runtime: add gateway v1 endpoints for multi-project DB orchestration","ai","ops"
"server/systemd/aiir-runtime.service","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","runtime"
"server/systemd/aiir-smoke.service","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","runtime"
"server/systemd/aiir-smoke.timer","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","runtime"
"server/systemd/aiir-state-backup.service","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","runtime"
"server/systemd/aiir-state-backup.timer","934cb72","2026-02-26T13:24:35Z","aiir: initial publish baseline","ai","runtime"
"test/AIIR_IMPROVEMENT_BACKLOG.md","25ea572","2026-03-02T17:28:20Z","runtime: add metrics endpoint and refresh AI-first repo benchmark backlog","ai","analysis"
"test/AI_FIRST_WORKFLOW.md","962fe3e","2026-03-02T17:24:15Z","security: add AIIR capability tokens, audit logs, and AI-first repo analysis workflow","ai","analysis"
"test/FEATURE_EXCLUSIONS.txt","962fe3e","2026-03-02T17:24:15Z","security: add AIIR capability tokens, audit logs, and AI-first repo analysis workflow","ai","analysis"
"test/FEATURE_MATRIX.csv","25ea572","2026-03-02T17:28:20Z","runtime: add metrics endpoint and refresh AI-first repo benchmark backlog","ai","analysis"
"test/OPEN_REPO_TESTS.md","25ea572","2026-03-02T17:28:20Z","runtime: add metrics endpoint and refresh AI-first repo benchmark backlog","ai","analysis"
"test/OPEN_REPO_TEST_LOG.csv","25ea572","2026-03-02T17:28:20Z","runtime: add metrics endpoint and refresh AI-first repo benchmark backlog","ai","analysis"
"test/REPO_SOURCES.txt","25ea572","2026-03-02T17:28:20Z","runtime: add metrics endpoint and refresh AI-first repo benchmark backlog","ai","analysis"
"test/analyze-improvement-gaps.sh","962fe3e","2026-03-02T17:24:15Z","security: add AIIR capability tokens, audit logs, and AI-first repo analysis workflow","ai","analysis"
"test/benchmark-open-repos.sh","962fe3e","2026-03-02T17:24:15Z","security: add AIIR capability tokens, audit logs, and AI-first repo analysis workflow","ai","analysis"
